,Name,Band,a0,a1,a2,a3,a4,a5,a6,s,SpT Min,SpT Max,Notes
0,Dupuy Old BD J Band,J_Dupuy,-9.67994,8.16362,-1.33053,0.111715,-0.00482973,0.00010082,-7.85E-07,0.4,6,29,From Dupuy et al. 2012 paper
1,Dupuy Old BD H Band,H_Dupuy,-11.7526,9.00279,-1.5037,0.129202,-0.00580847,0.000129363,-1.11E-06,0.4,6,28.5,From Dupuy et al. 2012 paper
2,Dupuy Old BD Ks Band,Ks_Dupuy,11.0114,-0.867471,0.134163,-0.00642118,0.000106693,0,0,0.43,6,28.5,From Dupuy et al. 2012 paper
3,New Empirical Field BD Sequence,J,-10.34282874,7.380297514,-1.024213487,0.071760816,-0.002411309,3.08E-05,0,0.406480815,6,28.5,Over 3^6 Myr
4,New Empirical Field BD Sequence,H,4.324722684,1.120278981,-0.05692439,0.001160684,0,0,0,0.438495408,6,29,Over 3^6 Myr
5,New Empirical Field BD Sequence,Ks,-11.87244632,7.633722745,-1.051079505,0.071207502,-0.002305292,2.87E-05,0,0.388329114,6,28.5,Over 3^6 Myr
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
